Label, Common Name                   , Train Images , Validation Images
n0   , aullador_de_manto             , 131          , 26
n1   , mono_patas                    , 139          , 28
n2   , uakari_calvo                  , 137          , 27
n3   , macaco_japones                , 152          , 30
n4   , titi_pigmeo                   , 131          , 26
n5   , capuchino_de_cabeza_blanca    , 141          , 28
n6   , tití_plateado                 , 132          , 26
n7   , mono_ardilla_comun            , 142          , 28
n8   , mono_nocturno_de_cabeza_negra , 133          , 27
n9   , langur_de_nilgiri             , 132          , 26
